# Matrices 10x10 - 

# Ejemplo 1
# Semi-ordenada
0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18 19
20 21 22 23 24 25 26 27 28 29
30 31 32 33 34 35 36 37 38 39
40 41 42 43 44 45 46 47 48 49
50 51 52 53 54 55 56 57 58 59
60 61 62 63 64 65 66 67 68 69
70 71 72 73 74 75 76 77 78 79
80 81 82 83 84 85 86 87 88 89
90 91 92 93 94 95 96 97 98 99

# Aleatoria
14 40 5 95 28 99 80 11 20 56
33 15 61 48 5 36 16 21 17 29
65 26 66 49 79 21 68 83 65 83
66 16 23 56 17 95 22 28 46 61
80 59 92 39 36 47 67 99 91 50
14 76 91 70 39 35 84 27 14 71
12 16 14 65 2 46 25 8 19 60
60 45 40 52 36 84 57 79 89 6
99 60 74 12 73 16 73 70 68 41
29 36 78 36 47 45 31 75 76 23

# Completamente ordenada
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30
31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58 59 60
61 62 63 64 65 66 67 68 69 70
71 72 73 74 75 76 77 78 79 80
81 82 83 84 85 86 87 88 89 90
91 92 93 94 95 96 97 98 99 100

# Ejemplo 2
# Semi-ordenada
0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18 19
20 21 22 23 24 25 26 27 28 29
30 31 32 33 34 35 36 37 38 39
40 41 42 43 44 45 46 47 48 49
50 51 52 53 54 55 56 57 58 59
60 61 62 63 64 65 66 67 68 69
70 71 72 73 74 75 76 77 78 79
80 81 82 83 84 85 86 87 88 89
90 91 92 93 94 95 96 97 98 99

# Aleatoria
56 69 64 50 96 76 77 83 82 93
54 77 78 32 23 91 23 80 27 28
11 90 76 54 87 22 35 31 8 4
46 13 13 35 40 67 58 1 75 4
53 42 69 4 81 24 54 79 43 35
95 75 8 26 80 95 32 81 93 61
54 73 80 95 97 20 26 86 63 52
29 66 88 50 58 41 33 98 14 21
54 14 22 57 81 44 42 53 21 23
92 80 10 66 12 98 24 23 83 14

# Completamente ordenada
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30
31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58 59 60
61 62 63 64 65 66 67 68 69 70
71 72 73 74 75 76 77 78 79 80
81 82 83 84 85 86 87 88 89 90
91 92 93 94 95 96 97 98 99 100

# Ejemplo 3
# Semi-ordenada
0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18 19
20 21 22 23 24 25 26 27 28 29
30 31 32 33 34 35 36 37 38 39
40 41 42 43 44 45 46 47 48 49
50 51 52 53 54 55 56 57 58 59
60 61 62 63 64 65 66 67 68 69
70 71 72 73 74 75 76 77 78 79
80 81 82 83 84 85 86 87 88 89
90 91 92 93 94 95 96 97 98 99

# Aleatoria
16 63 6 53 8 68 14 61 29 65
46 57 68 8 67 85 97 13 6 17
91 85 6 17 16 59 11 26 86 94
89 55 31 80 12 1 71 24 78 48
27 98 90 48 85 55 45 26 55 13
61 13 97 30 11 48 30 44 86 42
74 33 38 9 86 15 78 89 16 22
22 40 5 87 47 49 2 94 37 32
14 79 26 59 49 51 92 49 76 9
54 78 50 14 77 10 92 86 91 97

# Completamente ordenada
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30
31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58 59 60
61 62 63 64 65 66 67 68 69 70
71 72 73 74 75 76 77 78 79 80
81 82 83 84 85 86 87 88 89 90
91 92 93 94 95 96 97 98 99 100

# Ejemplo 4
# Semi-ordenada
0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18 19
20 21 22 23 24 25 26 27 28 29
30 31 32 33 34 35 36 37 38 39
40 41 42 43 44 45 46 47 48 49
50 51 52 53 54 55 56 57 58 59
60 61 62 63 64 65 66 67 68 69
70 71 72 73 74 75 76 77 78 79
80 81 82 83 84 85 86 87 88 89
90 91 92 93 94 95 96 97 98 99

# Aleatoria
38 92 1 94 83 54 55 86 48 30
34 98 40 17 53 85 2 89 1 44
37 55 19 77 34 96 19 8 7 8
24 19 21 84 31 10 98 14 6 77
70 35 95 6 19 35 42 81 76 63
2 87 24 25 56 92 83 79 2 32
15 8 1 63 90 78 54 35 7 29
97 90 35 98 88 93 40 71 26 86
58 34 44 14 53 64 49 73 28 60
86 78 17 64 82 15 42 36 67 8

# Completamente ordenada
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30
31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58 59 60
61 62 63 64 65 66 67 68 69 70
71 72 73 74 75 76 77 78 79 80
81 82 83 84 85 86 87 88 89 90
91 92 93 94 95 96 97 98 99 100

# Ejemplo 5
# Semi-ordenada
0 1 2 3 4 5 6 7 8 9
10 11 12 13 14 15 16 17 18 19
20 21 22 23 24 25 26 27 28 29
30 31 32 33 34 35 36 37 38 39
40 41 42 43 44 45 46 47 48 49
50 51 52 53 54 55 56 57 58 59
60 61 62 63 64 65 66 67 68 69
70 71 72 73 74 75 76 77 78 79
80 81 82 83 84 85 86 87 88 89
90 91 92 93 94 95 96 97 98 99

# Aleatoria
39 81 96 33 79 66 11 55 59 80
22 58 94 61 43 99 87 2 17 20
26 50 61 29 20 47 29 35 79 79
80 53 73 22 6 11 60 72 62 81
59 31 35 62 95 12 39 31 62 17
72 85 12 54 22 54 12 97 3 88
58 33 51 63 51 82 51 87 6 35
89 28 16 73 93 11 27 52 43 52
94 85 89 71 7 48 57 81 37 39
61 40 75 54 63 19 7 77 79 99

# Completamente ordenada
1 2 3 4 5 6 7 8 9 10
11 12 13 14 15 16 17 18 19 20
21 22 23 24 25 26 27 28 29 30
31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50
51 52 53 54 55 56 57 58 59 60
61 62 63 64 65 66 67 68 69 70
71 72 73 74 75 76 77 78 79 80
81 82 83 84 85 86 87 88 89 90
91 92 93 94 95 96 97 98 99 100
