# Matrices 5x5 

# Ejemplo 1
# Semi-ordenada
0 1 2 3 4
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24

# Aleatoria
83 22 16 84 44
44 49 59 55 91
91 62 96 3 22
11 90 14 1 21
53 54 89 10 3

# Completamente ordenada
1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25

# Ejemplo 2
# Semi-ordenada
0 1 2 3 4
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24

# Aleatoria
95 33 84 43 48
34 55 3 62 47
19 22 96 61 92
3 16 52 57 34
52 93 69 16 35

# Completamente ordenada
1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25

# Ejemplo 3
# Semi-ordenada
0 1 2 3 4
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24

# Aleatoria
14 56 61 26 60
54 97 18 23 56
90 51 62 36 58
89 21 6 12 89
69 85 9 4 70

# Completamente ordenada
1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25

# Ejemplo 4
# Semi-ordenada
0 1 2 3 4
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24

# Aleatoria
88 41 3 18 75
35 77 59 58 90
82 25 43 44 49
94 60 77 43 51
59 27 24 35 59

# Completamente ordenada
1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25

# Ejemplo 5
# Semi-ordenada
0 1 2 3 4
5 6 7 8 9
10 11 12 13 14
15 16 17 18 19
20 21 22 23 24

# Aleatoria
31 91 71 69 90
38 14 72 60 86
88 60 40 97 36
44 58 84 55 79
96 8 97 65 38

# Completamente ordenada
1 2 3 4 5
6 7 8 9 10
11 12 13 14 15
16 17 18 19 20
21 22 23 24 25
